世界排名,学校名称,地区,综合得分,学术声誉,雇主声誉,每位教员引用率,师生比
1,麻省理工学院,美国,100,100,100,100,100
2,剑桥大学,英国,98.8,100,100,92.3,100
3,斯坦福大学,美国,98.5,100,100,99.9,100
4,牛津大学,英国,98.4,100,100,90,100
5,哈佛大学,美国,97.6,100,100,100,99.4
6,加州理工大学,美国,97,96.5,87.1,100,100
6,帝国理工学院,英国,97,98.3,99.7,86.5,99.5
8,伦敦大学学院,英国,95,99.4,98.6,77,97.6
9,苏黎世联邦理工大学,瑞士,93.6,98.6,91.3,99.2,74.2
10,芝加哥大学,美国,93.2,99.2,92.2,86.8,92.9
11,新加坡国立大学,新加坡,92.7,99.5,94.1,91.8,79.8
12,北京大学,中国大陆,91.3,99.3,96.5,96.7,87.3
13,宾夕法尼亚大学,美国,90.6,96.5,92.5,70.9,99.9
14,清华大学,中国大陆,90.1,98.9,97.7,98.1,92.8
15,爱丁堡大学,英国,89.5,98,97.2,70.1,81.1
16,洛桑联邦理工学院,瑞士,89.2,83.7,71.8,99.4,91.1
16,普林斯顿大学,美国,89.2,99.9,98.9,100,72.6
18,耶鲁大学,美国,89,99.9,100,51.5,100
19,南洋理工大学,新加坡,88.4,90.4,76.1,94.1,83.2
20,康奈尔大学,美国,87.2,98.3,91.4,99.3,62.2
21,香港大学,中国香港,87,97.4,62.9,72.6,84.2
22,哥伦比亚大学,美国,86.7,99.7,98.1,47.2,100
23,东京大学,日本,85.3,100,99.7,73.3,91.9
24,约翰霍普金斯大学,美国,85.1,87.9,47.2,87.3,100
25,密歇根大学,美国,84.4,98.5,91.3,62.5,88.9
26,巴黎科学艺术人文大学,法国,83.8,74.4,97,84.1,99.8
27,加州大学伯克利分校,美国,82.7,100,100,99.9,23.9
28,曼彻斯特大学,英国,82.3,95.1,97.7,59,63.1
29,首尔国立大学,韩国,82.2,98.6,97.8,70.3,87
30,澳大利亚国立大学,澳大利亚,82.1,93.6,70.1,99.3,38
31,麦吉尔大学,加拿大,81.9,93.3,93.6,59.6,68.9
32,西北大学,美国,81.8,84.4,71.9,84.2,98.3
33,墨尔本大学,澳大利亚,81.6,98.6,94.9,95,17.9
34,复旦大学,中国大陆,81.5,83.6,93.5,70.4,89.3
34,多伦多大学,加拿大,81.5,99.6,98.3,43.5,65.6
36,京都大学,日本,81.4,98.6,98.9,54.2,94.8
37,伦敦国王学院,英国,81.2,88.8,83.2,60.5,74.5
38,香港中文大学,中国香港,80.6,87.3,49.6,92.9,60.9
39,纽约大学,美国,80.3,95.9,99,28.9,98.1
40,香港科技大学,中国香港,79.8,82,50.1,98.6,62.6
41,悉尼大学,澳大利亚,79.6,96.2,91.7,92.1,15.6
42,韩国科学技术研究所,韩国,79.3,88.1,85.8,97.7,68.9
42,浙江大学,中国大陆,79.3,72.2,95.3,88.4,78.7
44,加州大学洛杉矶分校,美国,78.7,100,99.9,85.9,37.7
45,新南威尔士大学,澳大利亚,78,89,91.1,97.6,16.8
46,上海交通大学,中国大陆,77.4,82.7,90.2,97.1,57.7
47,不列颠哥伦比亚大学,加拿大,77,98,95.4,42.1,56.5
48,巴黎理工学院,法国,76.8,45.3,99.4,93.9,98.9
49,慕尼黑工业大学,德国,76.4,84,96.8,25.8,96.4
50,杜克大学,美国,74.8,86.1,79.8,41.2,100
50,昆士兰大学,澳大利亚,74.8,86.6,75.6,90.8,20.2
52,卡内基梅隆大学,美国,74.6,72.1,69,100,58.6
53,加州大学圣地亚哥分校,美国,74.5,90,61.6,77,55.6
54,香港城市大学,中国香港,73.6,57.3,29.4,98.1,88.6
55,东京工业大学,日本,72.5,74.1,93.4,65.9,81.5
56,伦敦经济政治学院,英国,72.3,69,98.3,84.6,37.8
57,蒙纳士大学,澳大利亚,71.6,87.6,80.8,79.3,11.2
58,阿姆斯特丹大学,荷兰,71.1,82.7,42.3,97.3,26.7
59,路德维希 - 马克西米利安 - 慕尼黑大学,德国,70.4,92.6,75.7,45.5,56
60,索邦大学,法国,70.1,90,41.7,86.3,40.6
61,代尔夫特理工大学,荷兰,70,71.6,80.2,84.4,34.5
61,布里斯托大学,英国,70,74.4,84.1,55.3,58.3
63,布朗大学,美国,69.6,57.6,54.2,89.9,80.8
64,华威大学,英国,69.1,71.8,89.3,63.1,43.1
65,鲁普莱希特-卡尔斯-海德堡大学,德国,69,78.7,40.3,41.1,99.8
65,香港理工大学,中国香港,69,66.1,37,68.9,78.4
67,布宜诺斯艾利斯大学,阿根廷,68.9,92.3,94,1.8,76
68,大阪大学,日本,68.2,80.2,85.4,59.1,67.4
69,巴黎萨克雷大学,法国,68.1,57.2,99.2,49.5,99.7
70,马来亚大学,马来西亚,67.9,79.6,94.9,39.4,67.8
71,浦项科技大学,韩国,67.7,47.4,69.4,98,100
72,德克萨斯大学奥斯汀分校,美国,67.4,93.7,85.2,90.9,9.8
73,延世大学,韩国,67,75.5,95.5,28.4,88.6
74,高丽大学,韩国,66.9,79.3,93.9,29.5,86.1
75,罗蒙诺索夫莫斯科国立大学,俄罗斯,66.8,80.5,77,5.3,99.8
76,鲁汶大学,比利时,66,83.8,53,92.7,7.7
77,中国台湾大学,中国台湾,65.7,92.3,92.6,49.7,33.4
78,南安普敦大学,英国,65,50.7,56.6,82.7,63.3
79,东北大学,日本,64.9,71.8,78.1,34.2,98.6
80,华盛顿大学,美国,64.7,84.8,48.6,100,10.8
81,格拉斯哥大学,英国,64.6,75.1,75.1,34.7,50.5
82,哥本哈根大学,丹麦,64.1,72.8,36.6,26,100
83,威斯康星大学麦迪逊分校,美国,63.7,82.4,48.1,41.9,70.6
83,苏黎世大学,瑞士,63.7,58,39.2,49.3,93.3
85,伊利诺伊大学香槟分校,美国,63.6,85.6,60.9,88.7,9.5
86,利兹大学,英国,62.8,70.2,78.4,47.8,41.6
87,奥克兰大学,新西兰,62.7,81.5,48.3,54.1,22.4
88,乔治亚理工学院,美国,62.3,67.7,77,95.5,11.1
89,皇家理工学院,瑞典,62.1,45.8,58.2,76.4,70
90,西澳大学,澳大利亚,61.7,55.6,49.9,98.9,21.8
91,伯明翰大学,英国,61.1,66,74.7,45.9,44.1
92,杜伦大学,英国,60.9,57.9,89.2,65.7,31
93,宾夕法尼亚州立大学,美国,60.8,76.7,69.8,67.7,32.6
94,中国科学技术大学,中国大陆,60.7,51.6,12.4,99.9,86.6
95,隆德大学,瑞典,60.1,68.8,50.9,41.4,51.3
96,谢菲尔德大学,英国,59.5,58.7,53.5,46.9,59.4
96,圣安德鲁斯大学,英国,59.5,46.2,67.6,58.9,61.1
98,都柏林三一学院,爱尔兰,59.1,67.9,48.2,60.2,25.7
99,成均馆大学,韩国,58.9,60.2,72.7,37.8,83.9
100,赖斯大学,美国,58.8,38.8,26.1,86.7,69.5
101,奥斯陆大学,挪威,58.7,54.9,14.5,62.7,83.8
102,加州大学戴维斯分校,美国,58.2,64.8,51,68.7,27.1
102,北卡罗来纳大学教堂山,美国,58.2,65.5,44.7,46.6,80.4
104,丹麦技术大学,丹麦,58,30.9,23.4,70.8,100
104,墨西哥国立自治大学,墨西哥,58,96,95.1,2.9,43.2
106,阿卜杜勒·阿齐兹国王大学,沙特阿拉伯,57.8,48.4,70.7,50.6,66.3
106,赫尔辛基大学,芬兰,57.8,65.3,44.6,49.8,66.5
108,波士顿大学,美国,57.2,62.3,57.2,61.6,40.4
109,阿德莱德大学,澳大利亚,57,52.3,35.2,94.5,17.2
110,阿尔伯塔大学,加拿大,56.9,55.1,48.9,53.9,51.5
111,里昂高等师范学院,法国,56.6,31.8,12.6,96.4,94.3
112,名古屋大学,日本,56.3,59.8,54.3,33.9,90.6
112,乌得勒支大学,荷兰,56.3,65.8,26.6,79.6,35.1
114,诺丁汉大学,英国,56.2,59,75.3,45.2,36.9
115,圣保罗大学,巴西,56.1,91.8,69.9,40.6,17.4
116,阿尔托大学,芬兰,55.9,44.5,45.8,89.3,44.4
116,蒙特利尔大学,加拿大,55.9,57.4,47.2,27.6,76.2
